clip_id,region,main_category,macro_category,subcategory,source_url,video_title,start_time,end_time,duration,file_path,reasoning_layer,aen_score
UT_UI_A_20260606_210129,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/watch?v=kCmnRC7D2NU,AUTO RICKSHAW SOUND | RUNNING AUTO RICKSHAW SOUND EFFECT | STUDY MOVIEN AUTO SOUND,0,25,25,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_210129.wav,AT,
UT_UI_A_20260606_210755,UttarPradesh,Environment,Urban_Industrial,Autorickshaws,https://www.youtube.com/shorts/_bxiJjF0Bqs,auto rickshaw sound,0,9,9,dataset/UttarPradesh/Environment/Urban_Industrial/Autorickshaws/UT_UI_A_20260606_210755.wav,AT,
"UT_UI_T_20260617_080714","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/shorts/lqkyUVDcq7k","Train sound 😮😮😮","0","10","10","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_080714.wav","AT",""
"UT_UI_T_20260617_080717","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/shorts/-HmESgpvazM","Track sounds creates, vibration of rail track. #railway #line #track #shorts","0","7","7","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_080717.wav","AT",""
"UT_UI_T_20260617_080719","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/shorts/5F2LeHKsOZc","Track Sounds Of Moving Train From inside A Coach - Headphones Highly Recommended","0","12","12","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_080719.wav","AT",""
"UT_UI_T_20260617_080721","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/shorts/ESvT7JF2VCA","Beautiful Birds sound and Train horn sound🔊😱","0","8","8","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_080721.wav","PI",""
"UT_UI_T_20260617_080818","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/watch?v=MdgJC9kxeJI","Relaxing Train Journey SOUNDS #3 : Indian Railways (Sounds only)","0","25","25","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_080818.wav","PI",""
"UT_UI_T_20260617_081003","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/watch?v=MdgJC9kxeJI","Relaxing Train Journey SOUNDS #3 : Indian Railways (Sounds only)","26","51","25","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_081003.wav","PI",""
"UT_UI_T_20260617_081050","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/watch?v=MdgJC9kxeJI","Relaxing Train Journey SOUNDS #3 : Indian Railways (Sounds only)","52","77","25","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_081050.wav","PI",""
"UT_UI_T_20260617_081243","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/watch?v=MdgJC9kxeJI","Relaxing Train Journey SOUNDS #3 : Indian Railways (Sounds only)","180","205","25","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_081243.wav","PI",""
"UT_UI_T_20260617_081251","UttarPradesh","Environment","Urban_Industrial","Trains","https://www.youtube.com/watch?v=fwvlQRCTluQ","Indian Railways TRAIN SOUND EFFECTS in India","0","9","9","dataset\UttarPradesh\Environment\Urban_Industrial\Trains\UT_UI_T_20260617_081251.wav","PI",""
"UT_UI_C_20260617_081254","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/watch?v=NiXJIHjoTMQ","Construction Site Machine Noise #Sound Effect Video Audio High Quality Not Edited","0","25","25","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081254.wav","AT",""
"UT_UI_C_20260617_081257","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/xKHTC045TVQ","100% original Sound for working#engineering #structure #high #construction #civil","0","17","17","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081257.wav","AT",""
"UT_UI_C_20260617_081259","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/b-t819Vtjz0","Scaffolding erection work and the sound of construction site.","0","14","14","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081259.wav","AT",""
"UT_UI_C_20260617_081301","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/rxmPOciHR7c","Workshop Sound | Power Tools Sound | Construction Site Noise #steelwork #welding #grinding #india","0","16","16","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081301.wav","AT",""
"UT_UI_C_20260617_081304","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/p9M5OezH_VU","Air Pollution and Noise Pollution #air #pollution #noise #viral #construction #work #shorts #smoke","0","13","13","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081304.wav","AT",""
"UT_UI_C_20260617_081348","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/watch?v=UZ_RrLxMrEg","CONSTRUCTION SITE SOUND EFFECT/ AMBIENCE DRILLING JACKHAMMER METAL HAMMERING NOISE SOUNDSCAPE ASMR","2820","2845","25","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081348.wav","AT",""
"UT_UI_C_20260617_081432","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/watch?v=UZ_RrLxMrEg","CONSTRUCTION SITE SOUND EFFECT/ AMBIENCE DRILLING JACKHAMMER METAL HAMMERING NOISE SOUNDSCAPE ASMR","840","860","20","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081432.wav","AT",""
"UT_UI_C_20260617_081434","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/_VIjWrlmbN0","hammer hitting wood sound effect","0","17","17","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081434.wav","AT",""
"UT_UI_C_20260617_081437","UttarPradesh","Environment","Urban_Industrial","Construction","https://www.youtube.com/shorts/d3tSIvlJN4E","Insanely Satisfying Hammer ASMR 🔨 | Original Sound Only #asmr #satisfying #usa #tools #sound","0","8","8","dataset\UttarPradesh\Environment\Urban_Industrial\Construction\UT_UI_C_20260617_081437.wav","AT",""
"UT_UI_M_20260617_081440","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=0ofSV-LO4Gw","India Street Sounds   Market","100","125","25","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081440.wav","AT",""
"UT_UI_M_20260617_081443","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=0ofSV-LO4Gw","India Street Sounds   Market","180","205","25","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081443.wav","AT",""
"UT_UI_M_20260617_081448","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=2NV6IlGo7r8","Travel To India Uttar Pradesh Market Rural Life ¶ The Way Of Living Of The Poor In UP India","0","25","25","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081448.wav","AT",""
"UT_UI_M_20260617_081455","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=DMPJ8Q-oJKI","बेहटा का बाजार उत्तर प्रदेश !🥕🍈 Uttar Pradesh Life Styel | गांव का बाजार Uttar Pradesh |","354","374","20","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081455.wav","AT",""
"UT_UI_M_20260617_081457","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=DMPJ8Q-oJKI","बेहटा का बाजार उत्तर प्रदेश !🥕🍈 Uttar Pradesh Life Styel | गांव का बाजार Uttar Pradesh |","260","285","25","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081457.wav","AT",""
"UT_UI_M_20260617_081501","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=3XqEaMLpaes","Market of Gorakhpur Uttar Pradesh - India","38","58","20","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081501.wav","AT",""
"UT_UI_M_20260617_081507","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=VHaq-z3X008","Rural market of Uttar Pradesh India Peaceful village life Daily routine of India #indiandailyvlogs","0","16","16","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081507.wav","AT",""
"UT_UI_M_20260617_081513","UttarPradesh","Environment","Urban_Industrial","Markets","https://www.youtube.com/watch?v=VHaq-z3X008","Rural market of Uttar Pradesh India Peaceful village life Daily routine of India #indiandailyvlogs","37","55","18","dataset\UttarPradesh\Environment\Urban_Industrial\Markets\UT_UI_M_20260617_081513.wav","AT",""
"UT_UI_F_20260617_081516","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/5ty0Exu8ZEg","The Real Sound of Manufacturing | Factory Ambience #japan #factory","6","20","14","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081516.wav","AT",""
"UT_UI_F_20260617_081519","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/txdh8ETZPJY","Factory Sounds Do What!?!?","0","10","10","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081519.wav","AT",""
"UT_UI_F_20260617_081521","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/PspLPpwciEM","Pleasant sound of the press machine #factory #sound #manufacturing #shorts","0","10","10","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081521.wav","AT",""
"UT_UI_F_20260617_081523","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/5W4Xs0aSBco","Factory Sounds ⚙️","3","28","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081523.wav","AT",""
"UT_UI_F_20260617_081525","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/X6yhEq71WXY","STP Manufacturing, Original sound 👍 Bahut mehnat lagta hai bhai🙏 #environment #workhard #engineering","0","25","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081525.wav","AT",""
"UT_UI_F_20260617_081527","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/uOvgb54S6uE","Inside the forging factory The Sound of Pure Industrial Power #industrial #process #machine #forging","2","27","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081527.wav","AT",""
"UT_UI_F_20260617_081529","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/uOvgb54S6uE","Inside the forging factory The Sound of Pure Industrial Power #industrial #process #machine #forging","30","55","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081529.wav","AT",""
"UT_UI_F_20260617_081531","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/shorts/uOvgb54S6uE","Inside the forging factory The Sound of Pure Industrial Power #industrial #process #machine #forging","60","85","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081531.wav","AT",""
"UT_UI_F_20260617_081534","UttarPradesh","Environment","Urban_Industrial","Factories","https://www.youtube.com/watch?v=KCPZxwmVfPc","LOUD AND LARGE FACTORY SOUND EFFECTS-#soundseffect #sound","12","37","25","dataset\UttarPradesh\Environment\Urban_Industrial\Factories\UT_UI_F_20260617_081534.wav","AT",""
"UT_NW_AC_20260617_081536","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/7y82WMrySC8","Cow Mooing Sound Road Side Air Time | Beautiful Cow Sound","0","9","9","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081536.wav","AT",""
"UT_NW_AC_20260617_081538","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/MxIVMwsNax0","Real Village Cow Sound | Big Cow Moo Sound in Village","0","7","7","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081538.wav","AT",""
"UT_NW_AC_20260617_081540","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/C8x8t5SBg1I","Village dog 🐕😡 चंपी barking sound#viral#shorts","0","5","5","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081540.wav","AT",""
"UT_NW_AC_20260617_081542","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/RFLmxKd2xoQ","Real Aggressive Dog Barking | Scary Dog Sound Warning!","0","5","5","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081542.wav","AT",""
"UT_NW_AC_20260617_081546","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/-J15lF9ePD8","Horse sound🔥real sound without any trending music❤️🔥 #beauty #horse","0","11","11","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081546.wav","AT",""
"UT_NW_AC_20260617_081548","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/i4dKc9QsPEw","Goat Sound Beside The Green Jungle | Amazing Sound Of A Goat","0","14","14","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081548.wav","AT",""
"UT_NW_AC_20260617_081550","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/YTgUoZxOIvw","female goat sound#trending #viralvideo","0","11","11","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081550.wav","AT",""
"UT_NW_AC_20260617_081552","UttarPradesh","Environment","Nature_Wildlife","Animal_Calls","https://www.youtube.com/shorts/HWQ5LK2-KVc","Angry horse sound| horse sound | horse sounds | horse voice | 🇮🇳🇱🇰🇺🇸🇵🇰like & subscribe  #shortsviral","0","7","7","dataset\UttarPradesh\Environment\Nature_Wildlife\Animal_Calls\UT_NW_AC_20260617_081552.wav","AT",""
"UT_NW_CS_20260617_081602","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/shorts/KGYFFxL0Op0","Relaxing ocean waves sound🌊","0","8","8","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081602.wav","AT",""
"UT_NW_CS_20260617_081604","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/shorts/SeNMNHBTxKQ","Ocean Waves Sounds - Seagulls Sound","0","8","8","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081604.wav","AT",""
"UT_NW_CS_20260617_081607","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/shorts/3Z9q_p1kAwM","Ocean Waves Sounds - Relaxing Sleep Sounds","0","9","9","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081607.wav","AT",""
"UT_NW_CS_20260617_081612","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/shorts/cD2vHfZM41s","Waves so calming sound At Goa beach #goa #beach #waves #calming #adventure #masti","0","7","7","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081612.wav","AT",""
"UT_NW_CS_20260617_081618","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/watch?v=6SpvwR9iWx4","GOA Beach Calm Waves - Pure Sound of the Arabian Sea","0","25","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081618.wav","AT",""
"UT_NW_CS_20260617_081623","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/watch?v=6SpvwR9iWx4","GOA Beach Calm Waves - Pure Sound of the Arabian Sea","300","325","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081623.wav","AT",""
"UT_NW_CS_20260617_081647","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/watch?v=XVb18qnaidM","4K 1 Hour Sea Sounds:  Seagulls and Waves at Morning Beach","0","25","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081647.wav","PI",""
"UT_NW_CS_20260617_081710","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/watch?v=XVb18qnaidM","4K 1 Hour Sea Sounds:  Seagulls and Waves at Morning Beach","30","55","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081710.wav","PI",""
"UT_NW_CS_20260617_081733","UttarPradesh","Environment","Nature_Wildlife","Coastal_Sounds","https://www.youtube.com/watch?v=XVb18qnaidM","4K 1 Hour Sea Sounds:  Seagulls and Waves at Morning Beach","1680","1705","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Coastal_Sounds\UT_NW_CS_20260617_081733.wav","AT",""
"UT_NW_F_20260617_081735","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/shorts/Ci16ErD87kk","Forest sound","0","11","11","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081735.wav","AT",""
"UT_NW_F_20260617_081800","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/watch?v=QT7jEGC06vA","Forest sounds, lyrebirds in Australia — sleep music (1.5 hours) | Nature Track","688","713","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081800.wav","AT",""
"UT_NW_F_20260617_081825","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/watch?v=QT7jEGC06vA","Forest sounds, lyrebirds in Australia — sleep music (1.5 hours) | Nature Track","3060","3085","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081825.wav","AT",""
"UT_NW_F_20260617_081857","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/watch?v=QT7jEGC06vA","Forest sounds, lyrebirds in Australia — sleep music (1.5 hours) | Nature Track","3150","3175","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081857.wav","AT",""
"UT_NW_F_20260617_081859","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/watch?v=mH2yAI-itX4","Haunted forest sounds","0","26","26","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081859.wav","AT",""
"UT_NW_F_20260617_081901","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/shorts/-UnK82sKDx8","Jim Corbett National Park ll Tiger growling ll Jungle Safari","0","13","13","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081901.wav","AT",""
"UT_NW_F_20260617_081903","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/watch?v=uuGsznZoCyo","Elephant sounds in forest | Elephant trumpeting","66","91","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081903.wav","AT",""
"UT_NW_F_20260617_081906","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/shorts/W7rv7qaFaEM","Morning in the jungle #animal #animalsounds #wildlife","0","9","9","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081906.wav","AT",""
"UT_NW_F_20260617_081909","UttarPradesh","Environment","Nature_Wildlife","Forests","https://www.youtube.com/shorts/SoUOQguFfu4","Jungle Sounds - Wild Animal Sound For Relaxation - Wildlife","0","13","13","dataset\UttarPradesh\Environment\Nature_Wildlife\Forests\UT_NW_F_20260617_081909.wav","AT",""
"UT_NW_MR_20260617_081921","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/watch?v=kwrNByEOa_w","Walking in Heavy Rain in paddy fields | Relaxing Kerala Monsoon rain sounds for sleep and meditation","60","85","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_081921.wav","AT",""
"UT_NW_MR_20260617_081932","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/watch?v=kwrNByEOa_w","Walking in Heavy Rain in paddy fields | Relaxing Kerala Monsoon rain sounds for sleep and meditation","120","145","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_081932.wav","AT",""
"UT_NW_MR_20260617_081943","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/watch?v=kwrNByEOa_w","Walking in Heavy Rain in paddy fields | Relaxing Kerala Monsoon rain sounds for sleep and meditation","440","465","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_081943.wav","AT",""
"UT_NW_MR_20260617_081954","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/watch?v=kwrNByEOa_w","Walking in Heavy Rain in paddy fields | Relaxing Kerala Monsoon rain sounds for sleep and meditation","1440","1465","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_081954.wav","AT",""
"UT_NW_MR_20260617_081958","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/shorts/lFrewcIK97o","#lucknow #navab  #uttarpradesh  #nature #rain #rainyday #sumit007 #barish #barish","0","14","14","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_081958.wav","AT",""
"UT_NW_MR_20260617_082001","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/shorts/2p3BMIkG2eI","HEAVY RAIN ON UTTAR PRADESH BASTI #basti #rain #rainsounds #bastikahasti #reels #youbuteshort","0","12","12","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_082001.wav","PI",""
"UT_NW_MR_20260617_082003","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/shorts/8OPDt6A5XIk","heavy rain in gorakhpur uttar pradesh #rain #rainsounds #rainyseason 🌨️⛈️🌦️🌧️💧☔","0","17","17","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_082003.wav","AT",""
"UT_NW_MR_20260617_082005","UttarPradesh","Environment","Nature_Wildlife","Monsoon_Rain","https://www.youtube.com/shorts/mq05pVsxkT0","Kerala Village | Heavy Rain |  Indian Village Life #shortsfeed #shorts #rain #rainwalk #rurallife","0","28","28","dataset\UttarPradesh\Environment\Nature_Wildlife\Monsoon_Rain\UT_NW_MR_20260617_082005.wav","AT",""
"UT_NW_R_20260617_082008","UttarPradesh","Environment","Nature_Wildlife","Rivers","https://www.youtube.com/watch?v=iSGCE75frXw","Ganges River natural sounds","0","25","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Rivers\UT_NW_R_20260617_082008.wav","AT",""
"UT_NW_R_20260617_082011","UttarPradesh","Environment","Nature_Wildlife","Rivers","https://www.youtube.com/watch?v=DwexNSaVv6s","The Real Ganga River Sound. Without Editig Video From Rishikesh, New Janki Bridge.","0","25","25","dataset\UttarPradesh\Environment\Nature_Wildlife\Rivers\UT_NW_R_20260617_082011.wav","AT",""
